feedback_id,created_at,author_type,channel,text,true_theme
F00000,2025-09-14,customer,support,"FYI Two appointments in a row moved at the last minute, I've lost a week Otherwise fine",provider_no_show
F00001,2026-01-15,customer,review,"Two appointments in a row moved at the last minute, I've lost a week",provider_no_show
F00002,2025-09-11,customer,support,"Hi, Warning light on the boiler the whole time, was told to ignore it Would appreciate a reply",safety_issue
F00003,2025-09-17,provider,support,"fyi the customer was actually two counties away, the address must have been typed wrong not impressed",lead_quality
F00004,2025-11-18,provider,support,update - uploaded a new profile photo and it shows sideways would appreciate a reply,app_bug
F00005,2026-02-20,provider,survey,two refunds approved by email but nothing showing in the account cheers,credits_refund
F00006,2026-02-19,provider,survey,"My balance went down by 11 and I didn't buy anything, what happened Please sort it out",credits_refund
F00007,2025-09-07,customer,support,"not happy. sent three messages, no reply for a week been using the site since december Regards,",provider_communication
F00008,2025-10-15,customer,review,just to say left exposed wiring behind the panel and said it would be fine thanks,safety_issue
F00009,2025-12-17,provider,review,"Quick one: The refund button does nothing, credits just disappeared Been using the site since December",credits_refund
F00010,2025-11-12,provider,support,Paid for a lead and the customer's number was disconnected Would appreciate a reply,lead_quality
F00011,2026-01-24,provider,support,"Honestly, Turned up 25 minutes into a one hour slot and still charged the full hour This was in Z23",provider_no_show
F00012,2025-11-23,provider,survey,"Hi, Lead was from Z05 which I don't even cover, why was it sent to me Second time this has happened",lead_quality
F00013,2025-11-06,provider,survey,Customers keep saying they already found someone by the time I call Please sort it out email me at ahmed83@example.com,lead_quality
F00014,2025-10-06,customer,review,"Not happy. Isolation switch didn't seem to work properly, felt unsafe Thanks Sent from my iPhone",safety_issue
F00015,2025-12-19,customer,review,"feedback: was told £30 an hour, invoice came in at £47, no explanation second time this has happened",price_dispute
F00016,2026-02-02,customer,review,"honestly, price on the profile said £31 but he charged £48 per hour second time this has happened",price_dispute
F00017,2026-02-11,customer,review,So He simply didn't show up on Saturday and went quiet afterwards Would appreciate a reply,provider_no_show
F00018,2025-10-14,customer,support,Asked for cash up front for the full job then said the rate had gone up Would appreciate a reply,price_dispute
F00019,2025-09-01,provider,review,"Hi, Was promised my money back for the fake enquiry, 2 days later still waiting",credits_refund
F00020,2025-09-12,customer,review,"quick one: felt rushed, didn't finish the sealing properly before leaving not impressed -- This message was sent via the marketplace app",workmanship_quality
F00021,2025-12-12,provider,support,Feedback: The app crashes every time I open the leads tab Second time this has happened,app_bug
F00022,2026-01-26,provider,review,customers keep saying they already found someone by the time i call not impressed,lead_quality
F00023,2026-02-13,customer,survey,"FYI Snapped at me when I asked a question, made the whole thing uncomfortable Been using the site since January",workmanship_quality
F00024,2026-01-13,provider,review,Feedback: The availability calendar doesn't keep my changes after I close it,app_bug
F00025,2025-11-02,provider,review,"feedback: the refund button does nothing, credits just disappeared",credits_refund
F00026,2025-10-01,customer,review,So Price on the profile said £30 but he charged £45 per hour This was in Z13,price_dispute
F00027,2026-02-06,customer,survey,"Hi, Expensive compared to what was advertised, felt misled Otherwise fine I live near Z24 2DD",price_dispute
F00028,2025-11-04,customer,support,"booked a morning slot, waited 40 minutes, nobody came. no explanation would appreciate a reply",provider_no_show
F00029,2025-09-28,customer,support,"hi, no dust sheets, no mask, debris left all over a room with a baby in it",safety_issue
F00030,2025-11-13,customer,review,"Quick one: Spent most of the visit on his phone, barely explained anything Would appreciate a reply",workmanship_quality
F00031,2025-12-29,customer,review,good,noise
F00032,2026-02-20,customer,review,so left exposed wiring behind the panel and said it would be fine thanks I live near Z02 7BC,safety_issue
F00033,2025-12-19,customer,review,So He simply didn't show up on Saturday and went quiet afterwards Cheers,provider_no_show
F00034,2026-01-29,provider,support,"Hi, Getting enquiries from people who want work in three months, not now Cheers -- This message was sent via the marketplace app",lead_quality
F00035,2025-11-04,provider,review,"Quick one: The customer was actually two counties away, the address must have been typed wrong",lead_quality
F00036,2026-02-12,provider,support,so two refunds approved by email but nothing showing in the account second time this has happened,credits_refund
F00037,2026-02-09,provider,support,"Hi, Credits not refunded after the customer cancelled, support not replying Please sort it out",credits_refund
F00038,2026-01-09,customer,survey,"Brilliant at talking me through the options, I was dreading this and it was painless Please sort it out -- This message was sent via the marketplace app",workmanship_quality
F00039,2025-12-03,provider,review,"Honestly, Requested a refund for a dead lead 2 weeks ago, still nothing Please sort it out",credits_refund
F00040,2026-01-13,provider,survey,"hi, lead was from z13 which i don't even cover, why was it sent to me been using the site since november",lead_quality
F00041,2026-01-25,customer,support,fine,noise
F00042,2025-10-23,customer,review,"quick one: hidden fees for materials and disposal, not mentioned before",price_dispute
F00043,2025-10-24,provider,support,feedback: bought 12 leads this month and only one picked up the phone second time this has happened,lead_quality
F00044,2026-03-01,provider,review,"Feedback: The refund button does nothing, credits just disappeared Otherwise fine",credits_refund
F00045,2025-11-05,customer,support,"Honestly, Nice enough but I didn't feel much had been done after ten hours Please sort it out",workmanship_quality
F00046,2025-12-01,customer,review,Not happy. Paid for the lead apparently but I never heard from anyone Please sort it out,provider_communication
F00047,2026-02-01,provider,review,"FYI The customer was actually two counties away, the address must have been typed wrong",lead_quality
F00048,2025-10-11,customer,review,"Sent three messages, no reply for a week Otherwise fine",provider_communication
F00049,2025-11-08,provider,support,So The availability calendar doesn't keep my changes after I close it Cheers my number is 07700 900240,app_bug
F00050,2026-01-20,customer,review,"So The ladder he used was visibly damaged, I mentioned it and got shrugged at Been using the site since September",safety_issue
F00051,2026-02-06,customer,review,,provider_communication
F00052,2025-12-08,customer,review,"Just to say Brilliant at talking me through the options, I was dreading this and it was painless Otherwise fine",workmanship_quality
F00053,2025-11-13,provider,review,The availability calendar doesn't keep my changes after I close it Second time this has happened,app_bug
F00054,2026-02-23,provider,support,"Credits not refunded after the customer cancelled, support not replying This was in Z25 Sent from my iPhone",credits_refund
F00055,2025-09-18,customer,review,"Quick one: Kept coming back for the same fault each week, no real progress at all my number is 07700 900545",workmanship_quality
F00056,2025-10-30,provider,support,"just to say can't update my coverage zones, the save button is greyed out",app_bug
F00057,2025-11-03,provider,survey,n/a,noise
F00058,2025-10-05,provider,survey,"honestly, paid for a lead and the customer's number was disconnected cheers",lead_quality
F00059,2025-12-02,provider,review,"Honestly, Two refunds approved by email but nothing showing in the account Cheers",credits_refund
F00060,2025-09-05,customer,support,"Not happy. Really thorough, explained the whole job clearly and finished ahead of time! Second time this has happened",workmanship_quality
F00061,2025-12-25,customer,survey,FYI Asked for cash up front for the full job then said the rate had gone up Cheers,price_dispute
F00062,2025-11-02,provider,review,"update - the refund button does nothing, credits just disappeared second time this has happened my number is 07700 900415",credits_refund
F00063,2025-12-23,provider,review,"FYI Requested a refund for a dead lead 2 weeks ago, still nothing",credits_refund
F00064,2025-10-30,provider,support,"Honestly, Requested a refund for a dead lead 2 weeks ago, still nothing Second time this has happened",credits_refund
F00065,2025-11-28,customer,review,Just to say Paid for the lead apparently but I never heard from anyone Not impressed -- This message was sent via the marketplace app,provider_communication
F00066,2026-01-08,customer,support,fyi asked for cash up front for the full job then said the rate had gone up would appreciate a reply -- This message was sent via the marketplace app,price_dispute
F00067,2025-10-29,customer,survey,"Update - Spent most of the visit on his phone, barely explained anything Been using the site since December",workmanship_quality
F00068,2025-12-08,customer,support,"Quick one: Felt rushed, didn't finish the sealing properly before leaving Thanks",workmanship_quality
F00069,2025-12-21,provider,support,"Someone wanting an installation sent to me, I only do repairs, that's on you Please sort it out -- This message was sent via the marketplace app",lead_quality
