lead_id,created_at,zone,job_type,weekday_day,weekday_eve,weekend,budget_max,urgency,hours_wanted,pref_gender,language,is_returning,source
L00006,2025-09-01,Z07,repair,0,1,0,34.0,none,10,any,en,0,organic
L02238,2025-09-03,Z21,repair,0,1,1,43.0,deadline,20,any,ur,0,organic
L02125,2025-09-08,Z26,repair,0,0,1,38.0,none,20,F,en,1,organic
L01976,2025-09-08,Z28,repair,1,0,1,38.0,emergency,30,any,en,0,paid_search
L02676,2025-09-09,Z29,install,1,1,0,41.0,none,20,F,en,0,organic
L01700,2025-09-10,Z14,repair,1,1,0,,none,10,any,en,0,paid_search
L00924,2025-09-10,Z05,repair,1,0,1,36.0,deadline,20,any,en,0,organic
L00476,2025-09-11,Z25,repair,1,0,0,34.0,deadline,20,any,en,0,referral
L02362,2025-09-12,Z18,install,0,1,0,39.0,deadline,30,any,en,0,paid_search
L00418,2025-09-12,Z04,repair,1,0,1,39.0,emergency,20,any,en,0,paid_search
L01699,2025-09-12,UNKNOWN,repair,1,1,1,33.0,none,10,any,ur,0,paid_search
L00678,2025-09-13,Z13,repair,0,1,0,41.0,none,20,F,pl,0,paid_search
L02315,2025-09-13,Z19,repair,0,1,0,43.0,none,10,any,en,0,paid_search
L00485,2025-09-13,Z26,install,1,0,0,50.0,none,20,any,en,1,paid_search
L02824,2025-09-13,UNKNOWN,install,1,0,0,44.0,deadline,30,any,en,0,paid_search
L02040,2025-09-14,Z07,repair,1,1,0,46.0,none,40,F,pl,0,paid_search
L02425,2025-09-14,Z15,repair,1,1,1,36.0,deadline,20,F,en,0,organic
L02581,2025-09-14,Z08,install,1,1,1,31.0,deadline,40,any,ro,0,paid_search
L00177,2025-09-14,Z02,repair,1,1,0,37.0,deadline,40,any,ro,0,paid_search
L02009,2025-09-14,Z26,install,0,0,0,36.0,deadline,10,any,pl,0,referral
L00790,2025-09-14,UNKNOWN,repair,0,0,0,,deadline,10,any,en,0,paid_search
L01746,2025-09-15,Z25,repair,0,0,0,41.0,emergency,10,any,ro,1,paid_search
L01771,2025-09-15,UNKNOWN,repair,0,0,1,38.0,none,20,any,en,0,organic
L01762,2025-09-15,Z01,install,1,0,0,33.0,none,40,any,en,0,paid_search
L02184,2025-09-15,Z25,repair,1,0,1,33.0,none,10,any,en,0,organic
L00121,2025-09-15,Z26,install,0,1,0,30.0,none,10,any,pl,0,referral
L02442,2025-09-15,Z01,repair,1,1,1,34.0,none,10,any,en,1,paid_search
L02654,2025-09-15,Z10,install,1,0,0,29.0,none,10,any,en,0,paid_search
L02340,2025-09-15,Z11,repair,0,1,0,41.0,deadline,20,any,pl,0,organic
L01390,2025-09-15,Z05,install,1,0,0,26.0,emergency,20,F,ro,0,paid_search
L02718,2025-09-16,Z09,repair,1,1,0,35.0,none,20,any,en,0,paid_search
L01052,2025-09-16,Z11,repair,0,0,1,,none,20,F,tr,1,referral
L01040,2025-09-16,Z08,install,1,1,1,,emergency,10,any,ur,0,referral
L02779,2025-09-16,Z19,repair,0,1,1,40.0,none,30,F,en,0,paid_search
L01597,2025-09-16,Z14,install,0,1,1,38.0,none,20,F,ro,0,paid_search
L02218,2025-09-16,Z30,repair,1,1,1,,none,20,any,tr,0,referral
L02409,2025-09-16,Z19,repair,1,0,1,40.0,deadline,20,any,tr,0,organic
L02374,2025-09-17,Z01,repair,0,0,1,38.0,none,30,any,tr,0,organic
L00980,2025-09-17,Z13,install,0,1,1,40.0,none,10,any,en,0,organic
L02195,2025-09-17,Z15,repair,0,1,1,47.0,emergency,40,any,en,0,paid_search
L02249,2025-09-17,Z14,repair,0,1,1,40.0,deadline,20,F,ro,0,organic
L00129,2025-09-17,Z08,repair,1,0,1,36.0,none,10,any,ro,0,organic
L01024,2025-09-18,Z24,install,1,0,1,41.0,none,30,any,en,0,paid_search
L00682,2025-09-18,Z06,install,0,1,1,34.0,none,40,any,en,0,paid_search
L02227,2025-09-19,Z21,repair,1,1,0,40.0,none,40,F,en,0,paid_search
L02826,2025-09-19,Z11,install,0,0,0,33.0,none,30,any,ro,0,paid_search
L02113,2025-09-19,Z29,repair,1,0,0,50.0,emergency,30,F,en,0,paid_search
L01838,2025-09-19,Z20,install,0,1,0,54.0,deadline,20,F,en,0,organic
L02247,2025-09-19,Z27,repair,0,1,1,32.0,deadline,40,F,ur,0,organic
L02860,2025-09-19,Z22,repair,1,0,1,41.0,deadline,20,any,ur,0,paid_search
L01314,2025-09-20,Z14,install,1,0,0,39.0,deadline,10,any,en,0,organic
L02488,2025-09-20,Z22,repair,1,1,1,,none,30,any,en,0,paid_search
L00928,2025-09-20,Z08,install,1,1,0,32.0,none,10,F,pl,0,paid_search
L01812,2025-09-20,Z17,install,0,0,0,46.0,none,30,F,ro,0,referral
L02941,2025-09-21,Z24,repair,0,1,1,33.0,none,30,any,ro,0,referral
L01326,2025-09-21,Z04,install,0,0,1,35.0,deadline,10,any,tr,0,organic
L00465,2025-09-21,Z18,repair,1,0,1,33.0,none,20,any,en,1,organic
L00020,2025-09-22,Z08,repair,1,1,1,44.0,emergency,30,any,en,0,paid_search
