lead_id,provider_id,offered_at,rank_shown,purchased,contacted,converted,lead_price_gbp
L02699,P0014,2025-09-01,1,0,0,0,8.0
L02699,P0066,2025-09-01,2,1,1,0,15.0
L02699,P0063,2025-09-01,3,0,0,0,8.0
L02699,P0020,2025-09-01,4,0,0,0,12.0
L02699,P0115,2025-09-01,5,0,0,0,12.0
L02744,P0084,2025-09-02,1,1,1,1,15.0
L02744,P0091,2025-09-02,2,0,0,0,15.0
L02744,P0069,2025-09-02,3,0,0,0,12.0
L02744,P0037,2025-09-02,4,1,1,0,8.0
L02744,P0030,2025-09-02,5,1,0,0,8.0
L00268,P0000,2025-09-02,1,0,0,0,15.0
L00268,P0062,2025-09-02,2,1,0,0,8.0
L00268,P0153,2025-09-02,3,0,0,0,10.0
L00268,P0181,2025-09-02,4,0,0,0,15.0
L00268,P0029,2025-09-02,5,0,0,0,12.0
L01397,P0114,2025-09-04,1,0,0,0,10.0
L01397,P0189,2025-09-04,2,1,0,0,12.0
L01397,P0058,2025-09-04,3,1,1,0,10.0
L01397,P0090,2025-09-04,4,0,0,0,12.0
L01397,P0007,2025-09-04,5,1,1,0,12.0
L01884,P0109,2025-09-04,1,0,0,0,10.0
L01884,P0117,2025-09-04,2,0,0,0,15.0
L01884,P0040,2025-09-04,3,1,0,0,12.0
L01884,P0188,2025-09-04,4,1,0,0,10.0
L01884,P0112,2025-09-04,5,0,0,0,10.0
L01266,P0201,2025-09-05,1,0,0,0,15.0
L01266,P0197,2025-09-05,2,0,0,0,8.0
L01266,P0173,2025-09-05,3,0,0,0,12.0
L01266,P0019,2025-09-05,4,0,0,0,10.0
L01266,P0175,2025-09-05,5,0,0,0,8.0
L01056,P0033,2025-09-06,1,0,0,0,12.0
L01056,P0211,2025-09-06,2,1,1,0,15.0
L01056,P0071,2025-09-06,3,0,0,0,15.0
L01056,P0077,2025-09-06,4,0,0,0,8.0
L01056,P0174,2025-09-06,5,0,0,0,8.0
L02001,P0219,2025-09-07,1,0,0,0,12.0
L02001,P0207,2025-09-07,2,1,1,0,12.0
L02001,P0209,2025-09-07,3,0,0,0,10.0
L02001,P0195,2025-09-07,4,1,1,0,10.0
L02001,P0112,2025-09-07,5,0,0,0,10.0
L00190,P0186,2025-09-07,1,1,1,0,8.0
L00190,P0138,2025-09-07,2,0,0,0,15.0
L00190,P0124,2025-09-07,3,1,1,0,12.0
L00190,P0105,2025-09-07,4,1,0,0,8.0
L00190,P0104,2025-09-07,5,0,0,0,12.0
L00668,P0189,2025-09-08,1,0,0,0,8.0
L00668,P0148,2025-09-08,2,1,1,0,10.0
L00668,P0114,2025-09-08,3,0,0,0,12.0
L00668,P0006,2025-09-08,4,0,0,0,10.0
L00668,P0135,2025-09-08,5,1,1,0,10.0
L00644,P0117,2025-09-08,1,1,0,0,8.0
L00644,P0040,2025-09-08,2,1,1,0,15.0
L00644,P0126,2025-09-08,3,1,1,1,15.0
L00644,P0195,2025-09-08,4,1,1,0,12.0
L00644,P0188,2025-09-08,5,0,0,0,15.0
L00264,P0139,2025-09-10,1,1,1,0,8.0
L00264,P0025,2025-09-10,2,0,0,0,12.0
L00264,P0194,2025-09-10,3,0,0,0,8.0
L00264,P0050,2025-09-10,4,1,1,0,12.0
L00264,P0186,2025-09-10,5,1,1,0,15.0
L02990,P0187,2025-09-10,1,1,1,0,8.0
L02990,P0077,2025-09-10,2,0,0,0,8.0
L02990,P0027,2025-09-10,3,1,1,0,8.0
L02990,P0198,2025-09-10,4,0,0,0,12.0
L02990,P0072,2025-09-10,5,0,0,0,12.0
L00871,P0062,2025-09-11,1,1,1,1,10.0
L00871,P0181,2025-09-11,2,1,1,1,15.0
L00871,P0070,2025-09-11,3,1,0,0,12.0
L00871,P0029,2025-09-11,4,1,0,0,8.0
L00871,P0106,2025-09-11,5,0,0,0,8.0
L02735,P0070,2025-09-11,1,0,0,0,10.0
L02735,P0106,2025-09-11,2,0,0,0,12.0
L02735,P0175,2025-09-11,3,1,1,0,10.0
L02735,P0173,2025-09-11,4,1,0,0,12.0
L02735,P0049,2025-09-11,5,0,0,0,15.0
L00108,P0052,2025-09-11,1,0,0,0,10.0
L00108,P0096,2025-09-11,2,0,0,0,8.0
L00108,P0212,2025-09-11,3,1,1,1,12.0
L00108,P0085,2025-09-11,4,0,0,0,12.0
L00108,P0020,2025-09-11,5,1,0,0,8.0
L01418,P0206,2025-09-12,1,0,0,0,15.0
L01418,P0174,2025-09-12,2,0,0,0,12.0
L01418,P0033,2025-09-12,3,1,0,0,12.0
L01418,P0027,2025-09-12,4,0,0,0,12.0
L01418,P0072,2025-09-12,5,0,0,0,10.0
L01565,P0208,2025-09-12,1,0,0,0,12.0
L01565,P0116,2025-09-12,2,1,0,0,12.0
