provider_id,home_zone,coverage,job_type,price_per_hour,tier,years_experience,gender,language,weekday_day,weekday_eve,weekend,weekly_lead_capacity,rating,credit_balance,joined_at
P0000,Z15,"Z15,Z14,Z12,Z13,Z03,Z01,Z02",install,31.0,apprentice,0,F,ro,1,1,1,4,4.937817426630501,30,2025-02-23
P0001,Z28,"Z28,Z21,Z29",install,43.0,accredited,3,M,en,0,0,0,4,4.675200972172488,23,2024-06-20
P0002,Z18,"Z18,Z05,Z17,Z16,Z06,Z01",install,44.0,accredited,16,M,tr,1,0,1,5,4.714340380953456,20,2024-05-19
P0003,Z28,"Z28,Z21,Z29,Z27,Z22,Z08",install,45.0,accredited,23,M,en,1,1,1,1,4.91845712106794,15,2024-09-05
P0004,Z07,"Z07,Z04,Z09,Z08,Z10,Z06",repair,37.0,apprentice,1,M,tr,1,0,0,1,4.369005797889145,17,2025-01-23
P0005,Z27,"Z27,Z26,Z28,Z29",install,41.0,accredited,22,F,ro,1,1,0,2,4.61611071710218,55,2025-06-19
P0006,Z11,"Z11,Z12,Z10,Z03",install,38.0,apprentice,2,F,ro,1,1,1,2,4.429606147814579,1,2025-04-03
P0007,Z10,"Z10,Z09,Z11",install,40.0,accredited,23,F,tr,1,0,0,1,4.564618349858553,24,2024-03-25
P0008,Z17,"Z17,Z18,Z05,Z16,Z06",install,39.0,accredited,9,M,ro,1,0,1,3,5.0,0,2023-12-07
P0009,Z29,"Z29,Z28,Z08,Z27,Z09,Z10,Z21",repair,41.0,accredited,6,M,en,0,1,1,4,4.271903831120341,47,2023-12-20
P0010,Z27,"Z27,Z26,Z28,Z29",both,42.0,accredited,19,M,ur,1,1,1,5,4.39835483136639,43,2024-06-18
P0011,Z06,"Z06,Z05,Z20,Z04,Z19,Z17,Z18",repair,46.0,accredited,17,M,ro,1,0,0,1,,7,2024-07-24
P0012,Z29,"Z29,Z28,Z08,Z27,Z09,Z10",repair,45.0,accredited,12,M,en,1,0,1,5,4.426122627992441,4,2023-10-06
P0013,Z30,"Z30,Z29,Z27,Z08,Z26,Z09,Z28",both,38.0,accredited,11,M,ur,1,0,1,5,4.186174634459303,49,2025-06-05
P0014,Z19,"Z19,Z06,Z20",install,40.0,accredited,23,M,pl,0,1,1,1,4.565099082780323,40,2024-03-17
P0015,Z23,"Z23,Z24,Z22,Z21",repair,,accredited,2,F,en,1,1,0,2,4.45322734927313,40,2024-12-24
P0016,Z25,"Z25,Z26,Z22,Z27,Z21",repair,41.0,accredited,16,M,pl,1,1,0,4,4.593974539051183,57,2024-01-05
P0017,Z05,"Z05,Z18,Z06,Z17,Z04,Z01",repair,43.0,accredited,3,M,en,1,0,1,1,4.385409405772926,0,2024-03-13
P0018,Z01,"Z01,Z02,Z03,Z05,Z18",repair,40.0,accredited,2,M,en,1,1,1,3,4.311206421606013,41,2023-10-23
P0019,Z12,"Z12,Z03,Z11,Z13",both,37.0,accredited,3,M,en,1,1,0,3,,34,2024-11-14
P0020,Z06,"Z06,Z05,Z20,Z04,Z19",both,39.0,accredited,13,M,en,1,0,0,5,4.755208705661812,27,2024-06-05
P0021,Z18,"Z18,Z05,Z17,Z16,Z06",repair,41.0,accredited,15,M,en,1,1,1,5,4.252224731496485,18,2024-09-03
