strategy,k,capacity_scale,demand_scale,leads,offers_made,leads_unfilled,expected_purchases,purchases_per_lead
s_shown_rank,2,1.0,1.0,735,1448,4,764.0,1.0394557823129251
s_shown_rank,3,1.0,1.0,735,1984,21,974.0,1.325170068027211
s_shown_rank,4,1.0,1.0,735,2240,42,1068.0,1.453061224489796
s_rule,2,1.0,1.0,735,1447,5,789.0,1.073469387755102
s_rule,3,1.0,1.0,735,1979,21,995.0,1.3537414965986394
s_rule,4,1.0,1.0,735,2233,43,1075.0,1.4625850340136055
p_logreg,2,1.0,1.0,735,1451,2,790.0,1.0748299319727892
p_logreg,3,1.0,1.0,735,1975,22,990.0,1.346938775510204
p_logreg,4,1.0,1.0,735,2231,43,1077.0,1.4653061224489796
p_logreg,3,1.0,1.0,735,1975,22,990.0,1.346938775510204
p_logreg,3,1.0,1.1,808,1947,68,965.0,1.1943069306930694
p_logreg,3,1.0,1.25,918,2085,102,1015.0,1.1056644880174291
p_logreg,3,0.9,1.0,735,1949,28,980.0,1.3333333333333333
p_logreg,3,0.9,1.1,808,1896,77,941.0,1.1646039603960396
p_logreg,3,0.9,1.25,918,2025,107,986.0,1.0740740740740742
p_logreg,3,0.75,1.0,735,1841,41,913.0,1.2421768707482994
p_logreg,3,0.75,1.1,808,1760,103,864.0,1.0693069306930694
p_logreg,3,0.75,1.25,918,1857,151,899.0,0.9793028322440087
