created_at,app_bug,credits_refund,lead_quality,price_dispute,provider_communication,provider_no_show,safety_issue,workmanship_quality
2025-09-01,9,6,7,8,2,6,4,7
2025-09-08,10,2,6,4,2,5,3,12
2025-09-15,10,3,11,3,8,9,5,10
2025-09-22,7,3,5,5,2,8,3,10
2025-09-29,6,2,9,3,3,4,1,8
2025-10-06,6,2,6,7,5,6,5,6
2025-10-13,3,2,11,4,7,9,2,6
2025-10-20,4,5,7,9,6,2,1,7
2025-10-27,10,4,6,4,4,6,2,9
2025-11-03,13,2,7,4,6,2,1,7
2025-11-10,13,2,8,4,8,9,2,4
2025-11-17,19,2,3,3,5,6,1,4
2025-11-24,7,1,3,8,9,9,4,6
2025-12-01,12,1,6,7,8,4,3,11
2025-12-08,9,2,8,6,6,4,2,8
2025-12-15,13,5,4,4,6,6,5,16
2025-12-22,9,2,8,5,5,7,2,5
2025-12-29,6,2,6,8,6,8,1,6
2026-01-05,7,1,7,4,4,5,5,7
2026-01-12,7,2,7,7,6,6,4,9
2026-01-19,8,4,8,4,5,4,3,8
2026-01-26,8,7,7,9,1,6,2,8
2026-02-02,9,4,7,4,2,7,5,4
2026-02-09,10,7,9,3,4,4,1,7
2026-02-16,7,5,4,5,7,6,2,6
2026-02-23,6,8,9,3,6,4,5,5
