lead_id,provider_id,q,distance_km,urgency,zone,reason
L00014,P0194,0.7372386632059504,0.0,none,Z29,"q=0.74, 0.0km"
L00014,P0060,0.43882186538371837,3.605551275463989,none,Z29,"q=0.44, 3.6km"
L00014,P0174,0.24827679996546903,6.4031242374328485,none,Z29,"q=0.25, 6.4km"
L00053,P0207,0.6074933937929864,0.0,deadline,Z30,"q=0.61, 0.0km, priority lead"
L00053,P0140,0.5900215704278415,0.0,deadline,Z30,"q=0.59, 0.0km, priority lead"
L00053,P0144,0.5335312686595455,0.0,deadline,Z30,"q=0.53, 0.0km, priority lead"
L00074,P0150,0.5879762633638671,0.0,deadline,Z26,"q=0.59, 0.0km, priority lead"
L00074,P0005,0.4299966897705134,0.0,deadline,Z26,"q=0.43, 0.0km, priority lead"
L00074,P0027,0.3726747856822507,6.324555320336759,deadline,Z26,"q=0.37, 6.3km, priority lead"
L00089,P0134,0.7993040062022156,0.0,none,Z24,"q=0.80, 0.0km"
L00089,P0024,0.7827099586269035,0.0,none,Z24,"q=0.78, 0.0km"
L00089,P0106,0.6709848237295895,0.0,none,Z24,"q=0.67, 0.0km"
L00105,P0055,0.3873519508645503,0.0,none,Z02,"q=0.39, 0.0km"
L00105,P0149,0.27011959367760746,0.0,none,Z02,"q=0.27, 0.0km"
L00105,P0103,0.17574527378442764,1.4142135623730951,none,Z02,"q=0.18, 1.4km"
L00131,P0080,0.5604469576903359,4.47213595499958,emergency,Z27,"q=0.56, 4.5km, priority lead"
L00131,P0152,0.5483765732697439,4.123105625617661,emergency,Z27,"q=0.55, 4.1km, priority lead"
L00131,P0014,0.5170716468990919,7.211102550927978,emergency,Z27,"q=0.52, 7.2km, priority lead"
L00136,P0163,0.7581392137646249,0.0,deadline,Z13,"q=0.76, 0.0km, priority lead"
L00136,P0164,0.7487340433048673,0.0,deadline,Z13,"q=0.75, 0.0km, priority lead"
L00136,P0162,0.6739539317032046,0.0,deadline,Z13,"q=0.67, 0.0km, priority lead"
L00137,P0073,0.76957032771299,0.0,deadline,Z04,"q=0.77, 0.0km, priority lead"
L00137,P0141,0.6572876443995316,2.23606797749979,deadline,Z04,"q=0.66, 2.2km, priority lead"
L00137,P0008,0.5596774656527032,2.23606797749979,deadline,Z04,"q=0.56, 2.2km, priority lead"
L00153,P0040,0.6525983998103533,4.0,none,Z20,"q=0.65, 4.0km"
L00153,P0156,0.45329741914315164,3.605551275463989,none,Z20,"q=0.45, 3.6km"
L00153,P0031,0.3828540662433023,4.47213595499958,none,Z20,"q=0.38, 4.5km"
L00155,P0211,0.6577972459892005,0.0,none,Z22,"q=0.66, 0.0km"
L00155,P0212,0.4256676055493895,5.0,none,Z22,"q=0.43, 5.0km"
L00155,P0058,0.3207267795844143,4.123105625617661,none,Z22,"q=0.32, 4.1km"
L00169,P0027,0.6845023052158985,0.0,none,Z25,"q=0.68, 0.0km"
L00169,P0165,0.4670314110344804,0.0,none,Z25,"q=0.47, 0.0km"
L00169,P0089,0.4115117357460385,0.0,none,Z25,"q=0.41, 0.0km"
L00171,P0040,0.8761928969914042,0.0,deadline,Z05,"q=0.88, 0.0km, priority lead"
L00171,P0082,0.8111960159416061,0.0,deadline,Z05,"q=0.81, 0.0km, priority lead"
L00171,P0186,0.7973291882212052,0.0,deadline,Z05,"q=0.80, 0.0km, priority lead"
L00176,P0194,0.6684010376574281,4.47213595499958,deadline,Z27,"q=0.67, 4.5km, priority lead"
L00176,P0124,0.5100568739079465,3.605551275463989,deadline,Z27,"q=0.51, 3.6km, priority lead"
L00176,P0199,0.4249663141993883,4.47213595499958,deadline,Z27,"q=0.42, 4.5km, priority lead"
L00188,P0006,0.5325500997606951,2.23606797749979,none,Z01,"q=0.53, 2.2km"
L00188,P0217,0.5110895080732636,2.23606797749979,none,Z01,"q=0.51, 2.2km"
L00188,P0053,0.26737539608536753,8.0,none,Z01,"q=0.27, 8.0km"
L00194,P0101,0.5895479290584906,0.0,none,Z06,"q=0.59, 0.0km"
L00194,P0129,0.43960961877394855,2.0,none,Z06,"q=0.44, 2.0km"
L00194,P0191,0.31904286164984286,2.23606797749979,none,Z06,"q=0.32, 2.2km"
L00226,P0194,0.6740095665990995,3.605551275463989,deadline,Z28,"q=0.67, 3.6km, priority lead"
L00226,P0201,0.6287558042609066,0.0,deadline,Z28,"q=0.63, 0.0km, priority lead"
L00226,P0079,0.4844123236744328,2.8284271247461903,deadline,Z28,"q=0.48, 2.8km, priority lead"
L00242,P0034,0.4055410702229753,4.47213595499958,deadline,Z29,"q=0.41, 4.5km, priority lead"
